iri,baseIri,instances,label/IRI-based,label/undefined,attributes/0,id,superClasses/0,pos/0,pos/1,subClasses/0,subClasses/1,subClasses/2,subClasses/3,subClasses/4,subClasses/5,subClasses/6,subClasses/7,subClasses/8,union/0,union/1,attributes/1
http://www.hozo.jp/rdf/startuplife.xml#passport,http://www.hozo.jp/rdf/startuplife.xml,0,passport,passport,external,166,89,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#digial_device,http://www.hozo.jp/rdf/startuplife.xml,0,digial_device,digial device,external,83,9,763.6319833490863,1379.939466436972,161,82,186,108,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#city_hall,http://www.hozo.jp/rdf/startuplife.xml,0,city_hall,city hall,external,188,60,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Finance_activity,http://www.hozo.jp/rdf/startuplife.xml,0,Finance_activity,Finance activity,external,18,14,1992.1831262844287,614.3416036062738,182,93,191,91,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Communication_activity,http://www.hozo.jp/rdf/startuplife.xml,0,Communication_activity,Communication activity,external,22,14,1960.6660651689372,493.9590908666275,54,152,109,122,197,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#motor_bike,http://www.hozo.jp/rdf/startuplife.xml,0,motor_bike,motor bike,external,118,75,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#send_email,http://www.hozo.jp/rdf/startuplife.xml,0,send_email,send email,external,197,22,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#embassy,http://www.hozo.jp/rdf/startuplife.xml,0,embassy,embassy,external,200,60,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#goverment,http://www.hozo.jp/rdf/startuplife.xml,0,goverment,goverment,external,60,1,1086.0572870869123,1885.8118262543555,100,200,188,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#not-equal,http://www.hozo.jp/rdf/startuplife.xml,0,not-equal,not-equal,external,45,29,,,,,,,,,,,,,,
,,0,,,union,214,,1089.3889229504098,730.8125418374145,,,,,,,,,,9,69,anonymous
http://www.hozo.jp/rdf/startuplife.xml#Rent_a_house,http://www.hozo.jp/rdf/startuplife.xml,0,Rent_a_house,Rent a house,external,64,20,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#bank_card,http://www.hozo.jp/rdf/startuplife.xml,0,bank_card,bank card,external,144,88,,,,,,,,,,,,,,
,,0,,,union,165,,1666.4050744058418,-120.83144602241738,,,,,,,,,,47,49,anonymous
,,0,,,union,114,,1099.5802682373098,56.35498122013122,,,,,,,,,,96,68,anonymous
http://www.hozo.jp/rdf/startuplife.xml#transportion,http://www.hozo.jp/rdf/startuplife.xml,0,transportion,transportion,external,12,8,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#credit_card,http://www.hozo.jp/rdf/startuplife.xml,0,credit_card,credit card,external,145,88,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Insurance,http://www.hozo.jp/rdf/startuplife.xml,0,Insurance,Insurance,external,32,9,519.1286426858292,802.1826058550274,31,34,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Buy,http://www.hozo.jp/rdf/startuplife.xml,0,Buy,Buy,external,191,18,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Express,http://www.hozo.jp/rdf/startuplife.xml,0,Express,Express,external,123,5,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#bus_card,http://www.hozo.jp/rdf/startuplife.xml,0,bus_card,bus card,external,146,88,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Time_interval,http://www.hozo.jp/rdf/startuplife.xml,0,Time_interval,Time interval,external,67,17,1489.9177273709824,167.09968248376703,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#Homecountry_Money,http://www.hozo.jp/rdf/startuplife.xml,0,Homecountry_Money,Homecountry Money,external,79,78,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#smart_phone,http://www.hozo.jp/rdf/startuplife.xml,0,smart_phone,smart phone,external,186,83,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#RelationalConcept,http://www.hozo.jp/rdf/startuplife.xml,0,RelationalConcept,RelationalConcept,external,29,,2053.858079502457,-163.21330329652088,41,43,45,47,49,28,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#ATM,http://www.hozo.jp/rdf/startuplife.xml,0,ATM,ATM,external,105,1,,,,,,,,,,,,,,
http://www.hozo.jp/rdf/startuplife.xml#visa,http://www.hozo.jp/rdf/startuplife.xml,0,visa,visa,external,167,89,,,,,,,,,,,,,,
